time_point,primary_pollutant,station_code,aqi,position_name,quality,pm2_5_24h,area,pm2_5
2017-07-29T14:00:00Z,,1001A,47,万寿西宫,优,33,北京,32
2017-07-29T14:00:00Z,颗粒物(PM10),1002A,63,定陵,良,20,北京,37
2017-07-29T14:00:00Z,细颗粒物(PM2.5),1003A,57,东四,良,36,北京,40
2017-07-29T14:00:00Z,,1004A,44,天坛,优,30,北京,24
2017-07-29T14:00:00Z,,1005A,46,农展馆,优,38,北京,28
2017-07-29T14:00:00Z,细颗粒物(PM2.5),1006A,58,官园,良,32,北京,41
2017-07-29T14:00:00Z,细颗粒物(PM2.5),1007A,54,海淀区万柳,良,28,北京,38
2017-07-29T14:00:00Z,细颗粒物(PM2.5),1008A,102,顺义新城,轻度污染,38,北京,76
2017-07-29T14:00:00Z,臭氧1小时,1009A,80,怀柔镇,良,21,北京,48
2017-07-29T14:00:00Z,颗粒物(PM10),1010A,77,昌平镇,良,20,北京,46
2017-07-29T14:00:00Z,细颗粒物(PM2.5),1011A,60,奥体中心,良,32,北京,43
2017-07-29T14:00:00Z,,1012A,50,古城,优,27,北京,35
2017-07-29T14:00:00Z,"颗粒物(PM2.5),颗粒物(PM10)",,58,,良,29,北京,40
