City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
长沙,15,8,7,0.57,24,38,29,5
三亚,16,8,13,0.4,5,29,30,2
遂宁,16,5,11,0.63,15,40,30,5
林芝地区,18,4,16,0.35,6,51,35,3
娄底,20,12,19,0.95,13,47,39,4
巴中,20,4,9,0.65,13,45,39,5
湘潭,20,10,16,0.59,24,49,39,7
五家渠,22,14,21,0.9,2,43,31,4
内江,23,12,15,0.78,16,49,45,2
邵阳,23,12,22,0.93,22,32,35,7
怀化,24,7,23,0.74,10,46,46,2
德阳,25,5,10,0.57,10,70,49,3
三明,26,13,18,0.6,13,56,50,10
庆阳,26,17,20,0.87,17,52,50,9
天水,27,13,25,0.6,19,70,53,12
绵阳,27,4,9,0.48,8,73,52,4
成都,27,16,26,0.7,27,52,45,6
景德镇,27,15,26,0.6,18,42,50,6
益阳,27,10,26,1.02,24,44,42,3
广元,27,4,16,0.7,18,66,53,16
永州,28,16,27,0.78,24,37,39,6
桂林,28,16,25,0.8,14,52,54,6
铜仁地区,28,16,27,0.85,8,54,52,8
龙岩,29,19,28,0.83,20,31,31,6
昌都地区,29,6,12,0.7,11,86,57,8
遵义,29,14,26,0.6,22,50,56,12
达州,29,12,20,0.55,20,69,56,11
日喀则地区,29,6,27,0.35,2,68,56,5
湘西州,30,18,29,0.43,11,48,52,3
恩施州,30,16,16,0.8,13,57,58,4
三沙,30,7,20,0.3,30,51,58,6
阿里地区,30,2,6,0.25,2,82,59,2
延安,30,17,29,1.55,31,57,50,14
南充,30,21,21,0.65,24,57,57,5
眉山,30,19,29,0.57,38,44,34,4
资阳,30,16,29,0.62,16,47,39,4
中山,31,16,30,0.5,28,71,40,10
海口,31,10,30,0.44,7,29,24,3
伊犁哈萨克州,31,18,27,0.83,11,97,59,9
博州,31,17,30,0.45,14,52,44,25
随州,31,15,30,0.73,11,77,60,5
商洛,31,17,23,0.65,17,89,61,43
宜昌,32,22,29,0.88,26,60,49,8
河源,32,22,28,1.03,14,51,43,3
固原,32,15,26,0.73,11,73,62,7
常德,32,12,16,0.72,14,69,62,4
广安,32,14,31,0.58,17,49,44,7
黔南州,32,22,31,0.8,18,43,40,17
十堰,33,16,23,0.93,29,64,65,11
平凉,33,13,32,0.55,24,51,49,5
